Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,76.102,76.392,73.963,74.386,2683700,0.0,0.0
2021-01-05,74.452,74.784,73.83,74.419,2547400,0.0,0.0
2021-01-06,74.585,76.094,74.518,75.381,2823000,0.0,0.0
2021-01-07,75.58,75.837,74.411,74.535,2989500,0.0,0.0
2021-01-08,74.585,74.958,74.145,74.668,2752100,0.0,0.0
2021-01-11,74.328,74.974,73.407,74.037,2193700,0.0,0.0
2021-01-12,73.913,74.261,72.653,73.739,2860700,0.0,0.0
2021-01-13,73.78,76.591,73.755,75.92,3592500,0.0,0.0
2021-01-14,75.92,76.251,74.9,76.003,3097300,0.0,0.0
2021-01-15,75.381,76.6,75.124,76.376,2914600,0.0,0.0
2021-01-19,76.774,77.072,74.916,74.941,2486200,0.0,0.0
2021-01-20,74.875,75.629,74.212,75.273,2331300,0.0,0.0
2021-01-21,75.041,75.265,74.46,74.775,2254700,0.0,0.0
2021-01-22,74.477,75.182,74.178,74.867,1917500,0.0,0.0
2021-01-25,74.634,77.172,74.452,77.039,3469200,0.0,0.0
2021-01-26,76.94,77.487,76.168,77.047,2261500,0.0,0.0
2021-01-27,76.575,78.075,75.729,76.044,3002300,0.0,0.0
2021-01-28,76.417,77.694,75.828,75.853,2001000,0.0,0.0
2021-01-29,76.293,78.424,75.497,77.943,4967400,0.0,0.0
2021-02-01,77.984,78.275,77.022,77.246,2570900,0.0,0.0
2021-02-02,77.188,78.731,76.857,77.197,2240700,0.0,0.0
2021-02-03,76.898,77.619,76.716,77.437,2577200,0.0,0.0
2021-02-04,77.669,78.333,77.371,78.233,2375800,0.0,0.0
2021-02-05,78.333,79.145,77.968,78.556,2465900,0.0,0.0
2021-02-08,78.449,78.507,77.13,77.611,2087100,0.0,0.0
2021-02-09,77.619,77.993,76.94,77.379,1932900,0.0,0.0
2021-02-10,77.752,78.1,76.956,77.694,2356700,0.0,0.0
2021-02-11,77.665,77.765,75.696,75.755,3633400,0.965,0.0
2021-02-12,75.336,75.729,74.691,75.252,2742400,0.0,0.0
2021-02-16,75.101,75.57,73.752,74.045,2931600,0.0,0.0
2021-02-17,74.205,75.042,73.635,74.732,3772600,0.0,0.0
2021-02-18,74.741,75.796,74.649,75.009,3658400,0.0,0.0
2021-02-19,74.934,74.934,73.911,74.087,3537300,0.0,0.0
2021-02-22,73.844,74.263,72.956,74.02,2981400,0.0,0.0
2021-02-23,74.892,75.436,73.953,74.598,2640200,0.0,0.0
2021-02-24,74.515,74.556,73.166,73.174,2886400,0.0,0.0
2021-02-25,73.099,74.364,72.638,72.99,3423000,0.0,0.0
2021-02-26,73.174,74.263,71.683,71.708,3877300,0.0,0.0
2021-03-01,72.051,73.761,72.051,72.923,2828000,0.0,0.0
2021-03-02,72.94,73.618,72.428,73.09,2427600,0.0,0.0
2021-03-03,72.797,73.275,71.884,73.115,2724700,0.0,0.0
2021-03-04,73.141,74.372,72.06,72.437,4197300,0.0,0.0
2021-03-05,72.68,74.565,72.202,74.171,3788000,0.0,0.0
2021-03-08,74.565,76.433,74.196,75.587,3740800,0.0,0.0
2021-03-09,75.587,76.634,75.227,76.199,3228200,0.0,0.0
2021-03-10,76.199,76.827,75.905,76.065,4227800,0.0,0.0
2021-03-11,75.964,77.33,75.637,75.981,3565200,0.0,0.0
2021-03-12,76.249,77.036,75.981,76.576,3462300,0.0,0.0
2021-03-15,76.978,77.539,76.685,77.355,4261000,0.0,0.0
2021-03-16,77.237,78.234,76.919,77.933,3140100,0.0,0.0
2021-03-17,77.883,78.176,76.643,76.953,4138400,0.0,0.0
2021-03-18,76.927,77.631,76.483,77.355,3471800,0.0,0.0
2021-03-19,77.472,78.209,76.743,77.682,11280800,0.0,0.0
2021-03-22,77.682,78.117,77.162,78.017,4107800,0.0,0.0
2021-03-23,77.908,79.248,77.623,78.771,3852900,0.0,0.0
2021-03-24,78.36,79.701,78.251,79.081,3024300,0.0,0.0
2021-03-25,79.567,80.346,79.089,80.036,2622900,0.0,0.0
2021-03-26,79.868,80.388,79.424,80.287,6036000,0.0,0.0
2021-03-29,80.254,82.038,79.86,81.753,4941200,0.0,0.0
2021-03-30,81.762,81.804,80.061,80.631,3275100,0.0,0.0
2021-03-31,80.354,81.091,80.295,80.874,3480700,0.0,0.0
2021-04-01,80.79,80.874,79.877,80.664,2876100,0.0,0.0
2021-04-05,80.723,81.82,80.572,81.209,2839800,0.0,0.0
2021-04-06,81.066,81.77,80.488,81.745,3634300,0.0,0.0
2021-04-07,81.854,82.147,81.561,81.954,2549200,0.0,0.0
2021-04-08,82.046,82.231,81.577,81.787,4922400,0.0,0.0
2021-04-09,82.105,82.725,81.636,81.72,2028700,0.0,0.0
2021-04-12,81.385,82.197,81.326,81.804,3784600,0.0,0.0
