Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,99.036,99.738,98.514,99.002,1062100,0.0,0.0
2021-01-05,98.993,100.8,98.959,100.286,973300,0.0,0.0
2021-01-06,99.952,102.761,99.952,101.357,954800,0.0,0.0
2021-01-07,100.963,102.204,99.721,100.047,1196400,0.0,0.0
2021-01-08,99.884,100.218,98.266,99.422,861300,0.0,0.0
2021-01-11,99.533,99.97,97.624,97.692,866500,0.0,0.0
2021-01-12,97.726,98.146,94.721,95.235,1535900,0.0,0.0
2021-01-13,95.295,96.596,94.635,95.509,2271200,0.0,0.0
2021-01-14,96.082,97.195,95.192,96.365,744900,0.0,0.0
2021-01-15,96.442,98.0,96.194,97.684,1172400,0.0,0.0
2021-01-19,98.403,99.584,97.778,99.019,1155100,0.0,0.0
2021-01-20,98.617,98.993,96.245,97.803,1256000,0.0,0.0
2021-01-21,97.803,98.317,96.673,97.11,880600,0.0,0.0
2021-01-22,97.332,98.231,96.622,97.812,1014900,0.0,0.0
2021-01-25,98.36,104.696,98.36,101.836,1401800,0.0,0.0
2021-01-26,101.725,106.305,101.211,106.245,1393300,0.0,0.0
2021-01-27,106.288,112.753,105.997,109.747,2150200,0.0,0.0
2021-01-28,108.454,110.937,100.792,101.245,2356400,0.0,0.0
2021-01-29,101.254,103.985,99.404,99.67,3180500,0.0,0.0
2021-02-01,99.25,100.774,98.197,98.745,1529000,0.0,0.0
2021-02-02,98.891,99.267,96.588,98.266,1057100,0.0,0.0
2021-02-03,98.086,98.583,95.552,98.017,1010000,0.0,0.0
2021-02-04,98.017,98.831,97.273,97.684,1026000,0.0,0.0
2021-02-05,97.992,98.762,96.964,98.0,848900,0.0,0.0
2021-02-08,98.42,98.942,97.136,98.565,811800,0.0,0.0
2021-02-09,99.045,99.482,98.249,98.762,620600,0.0,0.0
2021-02-10,99.353,99.482,98.077,99.148,734400,0.0,0.0
2021-02-11,98.811,99.337,97.456,98.345,831500,0.9,0.0
2021-02-12,98.095,99.337,97.577,99.32,899200,0.0,0.0
2021-02-16,99.182,99.312,96.818,97.603,1036900,0.0,0.0
2021-02-17,97.534,99.898,96.964,99.614,1700200,0.0,0.0
2021-02-18,99.829,102.565,99.234,100.684,1311200,0.0,0.0
2021-02-19,100.718,100.718,97.991,98.164,1118700,0.0,0.0
2021-02-22,98.449,99.01,97.241,98.604,885700,0.0,0.0
2021-02-23,99.493,99.519,97.681,98.699,702800,0.0,0.0
2021-02-24,99.234,99.665,97.663,97.698,1141200,0.0,0.0
2021-02-25,99.346,103.1,98.88,99.26,1931800,0.0,0.0
2021-02-26,99.312,99.622,96.576,96.645,1709500,0.0,0.0
2021-03-01,96.723,98.017,96.291,96.697,1678400,0.0,0.0
2021-03-02,97.085,98.5,96.93,97.534,1347500,0.0,0.0
2021-03-03,97.258,99.415,96.99,98.371,1294600,0.0,0.0
2021-03-04,99.122,101.762,98.638,100.287,1515400,0.0,0.0
2021-03-05,100.52,103.971,100.218,102.116,1917900,0.0,0.0
2021-03-08,102.073,104.765,101.003,103.35,1133500,0.0,0.0
2021-03-09,102.832,104.843,102.384,102.677,1100800,0.0,0.0
2021-03-10,102.686,105.024,101.676,104.472,966600,0.0,0.0
2021-03-11,103.859,105.162,103.548,103.764,1015500,0.0,0.0
2021-03-12,104.368,105.939,104.092,104.791,1387900,0.0,0.0
2021-03-15,105.102,106.025,104.653,105.378,772900,0.0,0.0
2021-03-16,105.274,106.862,105.058,106.405,1048700,0.0,0.0
2021-03-17,106.862,107.604,106.103,107.104,1043400,0.0,0.0
2021-03-18,106.983,108.13,106.525,106.948,1115300,0.0,0.0
2021-03-19,106.991,110.124,106.862,109.062,2867300,0.0,0.0
2021-03-22,108.01,109.848,107.811,109.804,1059000,0.0,0.0
2021-03-23,110.521,110.521,108.579,109.123,903500,0.0,0.0
