Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,31.773,31.971,30.458,30.467,2152100,0.0,0.0
2021-01-05,30.591,30.839,30.367,30.417,1826700,0.0,0.0
2021-01-06,30.764,31.69,30.483,31.55,2765900,0.0,0.0
2021-01-07,31.525,31.55,30.797,31.054,1860200,0.0,0.0
2021-01-08,31.079,31.254,30.862,31.204,879100,0.36,0.0
2021-01-11,31.204,31.321,30.695,30.928,1485600,0.0,0.0
2021-01-12,30.887,31.479,30.678,31.329,2524600,0.0,0.0
2021-01-13,31.346,31.955,31.17,31.93,1291600,0.0,0.0
2021-01-14,32.105,32.539,31.838,32.331,2074900,0.0,0.0
2021-01-15,32.281,32.99,32.189,32.907,1972200,0.0,0.0
2021-01-19,33.09,33.09,32.114,32.289,1902700,0.0,0.0
2021-01-20,32.039,33.057,31.813,32.948,2074900,0.0,0.0
2021-01-21,32.681,33.015,32.381,32.782,1117200,0.0,0.0
2021-01-22,32.631,32.873,32.523,32.648,1201300,0.0,0.0
2021-01-25,32.539,32.848,32.222,32.564,1546700,0.0,0.0
2021-01-26,32.64,32.94,32.372,32.731,1453400,0.0,0.0
2021-01-27,32.514,32.882,31.663,31.855,1390400,0.0,0.0
2021-01-28,31.93,32.982,31.788,32.489,1798300,0.0,0.0
2021-01-29,32.256,32.665,31.713,32.097,1152400,0.0,0.0
2021-02-01,32.231,32.414,31.596,32.356,1533500,0.0,0.0
2021-02-02,32.439,32.681,32.214,32.439,1291500,0.0,0.0
2021-02-03,32.139,32.932,31.963,32.79,1399500,0.0,0.0
2021-02-04,32.748,33.591,32.489,33.174,1553700,0.0,0.0
2021-02-05,33.374,33.483,33.007,33.449,1000200,0.0,0.0
2021-02-08,33.583,34.276,33.274,34.192,1608500,0.0,0.0
2021-02-09,34.359,34.443,33.992,34.368,1300900,0.0,0.0
2021-02-10,32.957,34.969,32.731,34.835,1743100,0.0,0.0
2021-02-11,35.06,36.221,34.676,36.162,2279800,0.0,0.0
2021-02-12,36.137,36.288,35.57,35.653,1899300,0.0,0.0
2021-02-16,35.653,35.778,35.102,35.478,1338200,0.0,0.0
2021-02-17,35.486,35.511,34.969,35.311,1423000,0.0,0.0
2021-02-18,35.211,35.536,34.944,35.027,1809000,0.0,0.0
2021-02-19,35.144,35.403,34.894,35.244,2797200,0.0,0.0
2021-02-22,35.303,35.687,35.102,35.428,1484400,0.0,0.0
2021-02-23,35.703,36.471,35.561,36.296,2042000,0.0,0.0
2021-02-24,36.254,36.471,35.979,36.254,2016300,0.0,0.0
2021-02-25,36.229,36.446,35.177,35.378,1619000,0.0,0.0
2021-02-26,35.369,35.495,34.351,34.368,2572600,0.0,0.0
2021-03-01,34.919,35.595,34.852,35.136,1958800,0.0,0.0
2021-03-02,34.985,35.428,34.752,35.152,1961400,0.0,0.0
2021-03-03,35.269,36.121,35.127,35.636,1725600,0.0,0.0
2021-03-04,35.737,36.071,34.843,35.344,2444900,0.0,0.0
2021-03-05,35.478,35.845,34.802,35.52,2311100,0.0,0.0
2021-03-08,35.803,36.596,35.461,36.271,2011200,0.0,0.0
2021-03-09,36.071,36.63,35.795,35.828,1458500,0.0,0.0
2021-03-10,35.828,36.379,35.269,36.179,2329500,0.0,0.0
2021-03-11,36.171,36.738,36.045,36.396,2264600,0.0,0.0
2021-03-12,36.813,37.74,36.672,37.69,2849100,0.0,0.0
2021-03-15,37.907,38.425,37.44,38.066,2192100,0.0,0.0
2021-03-16,38.099,38.308,37.106,37.331,1736300,0.0,0.0
2021-03-17,37.431,37.782,37.081,37.732,1849500,0.0,0.0
2021-03-18,37.54,37.84,37.264,37.565,1844600,0.0,0.0
2021-03-19,37.481,37.54,36.146,36.179,3060700,0.0,0.0
2021-03-22,36.112,36.521,35.87,36.338,1647200,0.0,0.0
2021-03-23,36.288,36.621,36.121,36.48,1386400,0.0,0.0
2021-03-24,36.346,36.855,36.229,36.313,2527000,0.0,0.0
2021-03-25,36.338,37.172,35.753,36.98,1985300,0.0,0.0
2021-03-26,37.089,37.406,36.972,37.364,1393600,0.0,0.0
2021-03-29,37.156,37.373,36.688,37.072,1552500,0.0,0.0
2021-03-30,37.031,37.298,36.939,37.064,1436000,0.0,0.0
2021-03-31,36.154,37.072,35.837,36.613,5540100,0.0,0.0
2021-04-01,36.747,37.047,36.488,37.031,2441300,0.0,0.0
2021-04-05,37.248,37.314,36.062,36.571,2368600,0.0,0.0
2021-04-06,36.488,36.805,36.313,36.772,2392100,0.0,0.0
2021-04-07,37.005,37.281,36.688,37.248,1647900,0.0,0.0
2021-04-08,37.082,37.284,36.88,37.006,1166400,0.363,0.0
2021-04-09,37.158,37.258,36.855,37.082,1495500,0.0,0.0
2021-04-12,37.082,37.242,36.711,37.166,1649900,0.0,0.0
2021-04-13,37.073,37.402,36.956,37.376,2246000,0.0,0.0
2021-04-14,37.351,37.662,37.157,37.183,1325000,0.0,0.0
2021-04-15,37.233,37.848,37.225,37.763,1711100,0.0,0.0
2021-04-16,38.024,38.066,37.637,37.89,1314600,0.0,0.0
2021-04-19,38.033,38.033,37.688,37.982,983600,0.0,0.0
2021-04-20,37.957,38.824,37.957,38.563,2332600,0.0,0.0
2021-04-21,38.689,39.236,38.412,39.06,1746000,0.0,0.0
2021-04-22,39.144,39.379,38.832,38.841,1791400,0.0,0.0
2021-04-23,38.815,39.531,38.74,39.371,2056900,0.0,0.0
