Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,78.545,78.57,76.745,77.078,1532900,0.0,0.0
2021-01-05,77.061,77.393,75.875,76.831,1584200,0.0,0.0
2021-01-06,76.745,78.263,76.242,77.803,1624200,0.0,0.0
2021-01-07,77.845,78.067,75.142,75.27,1555000,0.0,0.0
2021-01-08,75.458,75.73,74.144,75.006,1488600,0.0,0.0
2021-01-11,74.903,75.133,73.394,74.161,878300,0.0,0.0
2021-01-12,73.138,73.76,72.012,72.72,1159200,0.0,0.0
2021-01-13,73.53,75.278,72.882,74.929,1310600,0.0,0.0
2021-01-14,75.04,75.151,73.436,74.076,1134200,0.0,0.0
2021-01-15,74.042,75.91,73.692,75.637,1354100,0.0,0.0
2021-01-19,75.91,76.106,74.792,74.937,1133000,0.0,0.0
2021-01-20,74.724,75.713,74.383,75.347,1232700,0.0,0.0
2021-01-21,74.758,75.313,74.468,74.903,999800,0.0,0.0
2021-01-22,75.006,75.006,74.05,74.519,1189000,0.0,0.0
2021-01-25,74.349,76.669,74.042,76.276,1306600,0.0,0.0
2021-01-26,76.02,76.481,74.699,76.191,1170400,0.0,0.0
2021-01-27,75.833,79.355,75.509,77.47,3078100,0.0,0.0
2021-01-28,77.231,78.715,76.31,76.327,1622400,0.0,0.0
2021-01-29,75.952,76.873,75.21,75.816,1163500,0.0,0.0
2021-02-01,76.106,76.421,74.971,75.517,887400,0.0,0.0
2021-02-02,75.585,76.276,74.664,74.869,1261300,0.0,0.0
2021-02-03,74.716,75.006,73.982,74.383,1307900,0.0,0.0
2021-02-04,74.349,75.219,73.385,73.982,1578800,0.0,0.0
2021-02-05,74.366,75.133,73.769,74.042,1324100,0.0,0.0
2021-02-08,73.974,74.042,72.532,72.635,1012900,0.0,0.0
2021-02-09,72.882,73.181,71.799,72.882,1001000,0.0,0.0
2021-02-10,73.505,74.11,72.498,73.249,1160400,0.0,0.0
2021-02-11,73.127,73.539,72.052,72.164,1144300,0.678,0.0
2021-02-12,71.949,72.267,70.857,71.39,1262500,0.0,0.0
2021-02-16,71.279,71.287,69.465,69.783,1497100,0.0,0.0
2021-02-17,69.989,70.728,69.895,70.513,1142300,0.0,0.0
2021-02-18,70.694,72.052,70.333,71.76,1938500,0.0,0.0
2021-02-19,71.76,72.147,71.132,71.545,2412400,0.0,0.0
