Date,country,fuel_type,price_with_tax,price_wo_tax,tax_amount,tax_share
2026-05-18,EU,euro95,1881.8121719810783,1007.5629163086404,874.2492556724379,0.4645783828425723
2026-05-11,EU,euro95,1873.9319842203824,1000.5884064927582,873.3435777276243,0.46604870672025167
2026-05-04,EU,euro95,1861.11371909381,990.2014867969748,870.9122322968352,0.4679521854907871
2026-04-27,EU,euro95,1841.51507170504,964.7762824080606,876.7387892969795,0.4760964505629682
2026-04-20,EU,euro95,1827.4498892009933,952.7752362174804,874.6746529835129,0.4786312654329157
2026-04-13,EU,euro95,1853.723722919182,975.5332836115564,878.1904393076255,0.4737439719035805
2026-04-06,EU,euro95,1878.7340291513265,997.2862372981242,881.4477918532023,0.4691711430017454
2026-03-30,EU,euro95,1871.5085171582543,973.0660925887148,898.4424245695395,0.48006323045419913
2026-03-23,EU,euro95,1893.491226878209,961.7234554136788,931.7677714645303,0.49208982763587017
2026-03-16,EU,euro95,1837.92605357412,879.403820484558,958.5222330895621,0.5215238291146552
2026-03-09,EU,euro95,1774.0847793832666,825.3757024693483,948.7090769139182,0.5347597183285245
2026-03-02,EU,euro95,1664.6510175526491,734.1382106433114,930.5128069093378,0.558983713161313
2026-02-23,EU,euro95,1637.231143049459,712.5151680033002,924.7159750461587,0.564804779686642
2026-02-16,EU,euro95,1631.95305277991,706.3889795746946,925.5640732052153,0.5671511638331668
2026-02-09,EU,euro95,1623.450155431859,699.4679553962716,923.9822000355874,0.5691472552723962
2026-02-02,EU,euro95,1621.921312499324,698.2976291091238,923.6236833902001,0.5694626960459187
2026-01-26,EU,euro95,1615.0223080067574,692.5524803361191,922.4698276706383,0.5711808580583264
2026-01-19,EU,euro95,1611.296636295135,689.9530933032612,921.3435429918737,0.5718025608930241
2026-01-12,EU,euro95,1604.6590932164988,684.3706855394006,920.2884076770982,0.5735102312805913
2026-01-05,EU,euro95,1604.5514813278862,685.4527373888855,919.0987439390008,0.5728072639828159
2025-12-29,EU,euro95,1585.7555123171894,672.1630674265882,913.5924448906012,0.5761244011415176
2025-12-22,EU,euro95,1586.8823553435782,672.9453755780341,913.936979765544,0.5759324102936831
2025-12-15,EU,euro95,1605.3345911018723,688.3475332506298,916.9870578512425,0.5712124207214893
2025-12-08,EU,euro95,1619.5362882213838,700.1001131609506,919.4361750604331,0.5677156984671097
2025-12-01,EU,euro95,1628.9672680359574,707.7573991210597,921.2098689148977,0.5655177283123672
2025-11-24,EU,euro95,1638.7850342457016,716.2934044080375,922.491629837664,0.5629119198432683
2025-11-17,EU,euro95,1639.1871996979835,716.4111742407929,922.7760254571906,0.5629473104885214
2025-11-10,EU,euro95,1624.586991170489,704.5959097028158,919.9910814676732,0.5662922862658369
2025-11-03,EU,euro95,1619.4329725456553,700.6055088950299,918.8274636506254,0.5673760379265846
2025-10-27,EU,euro95,1614.6729296640626,696.5092691993711,918.1636604646915,0.568637551046154
2025-10-20,EU,euro95,1608.4867799579126,691.5491756101743,916.9376043477383,0.5700622571307243
2025-10-13,EU,euro95,1616.0437579654488,698.1412793978042,917.9024785676446,0.567993579408553
2025-10-06,EU,euro95,1619.859623238035,701.0488175919281,918.8108056461069,0.5672163145899276
2025-09-29,EU,euro95,1622.8401463473888,703.680428902747,919.1597174446417,0.5663895606190434
2025-09-22,EU,euro95,1622.8622566120032,703.5397429246883,919.3225136873149,0.5664821582618814
2025-09-15,EU,euro95,1621.79112029896,702.3957351296643,919.3953851692958,0.5669012326321129
2025-09-08,EU,euro95,1615.7906028753578,697.7348950590878,918.05570781627,0.5681774025560965
2025-09-01,EU,euro95,1607.3624223989696,690.9581782454217,916.4042441535479,0.5701291951231666
2025-08-25,EU,euro95,1609.5031933232642,693.092277500666,916.4109158225982,0.5693750218229854
