Date,CTR,EU_price_with_tax_euro95,EU_price_with_tax_diesel,EU_price_with_tax_heEUing_oil,EU_price_with_tax_fuel_oil_1,EU_price_with_tax_fuel_oil_2,EU_price_with_tax_LPG,CTR.1,EUR_price_with_tax_euro95,EUR_price_with_tax_diesel,EUR_price_with_tax_heEURing_oil,EUR_price_with_tax_fuel_oil_1,EUR_price_with_tax_fuel_oil_2,EUR_price_with_tax_LPG,CTR.2,AT_price_with_tax_euro95,AT_price_with_tax_diesel,AT_price_with_tax_heating_oil,AT_price_with_tax_fuel_oil_1,AT_price_with_tax_fuel_oil_2,AT_price_with_tax_LPG,CTR.3,BE_price_with_tax_euro95,BE_price_with_tax_diesel,BE_price_with_tax_heBEing_oil,BE_price_with_tax_fuel_oil_1,BE_price_with_tax_fuel_oil_2,BE_price_with_tax_LPG,CTR.4,BG_exchange_rate,BG_price_with_tax_euro95,BG_price_with_tax_diesel,BG_price_with_tax_heBGing_oil,BG_price_with_tax_fuel_oil_1,BG_price_with_tax_fuel_oil_2,BG_price_with_tax_LPG,CTR.5,CY_exchange_rate,CY_price_with_tax_euro95,CY_price_with_tax_diesel,CY_price_with_tax_heCYing_oil,CY_price_with_tax_fuel_oil_1,CY_price_with_tax_fuel_oil_2,CY_price_with_tax_LPG,CTR.6,CZ_exchange_rate,CZ_price_with_tax_euro95,CZ_price_with_tax_diesel,CZ_price_with_tax_heCZing_oil,CZ_price_with_tax_fuel_oil_1,CZ_price_with_tax_fuel_oil_2,CZ_price_with_tax_LPG,CTR.7,DE_price_with_tax_euro95,DE_price_with_tax_diesel,DE_price_with_tax_heDEing_oil,DE_price_with_tax_fuel_oil_1,DE_price_with_tax_fuel_oil_2,DE_price_with_tax_LPG,CTR.8,DK_exchange_rate,DK_price_with_tax_euro95,DK_price_with_tax_diesel,DK_price_with_tax_heDKing_oil,DK_price_with_tax_fuel_oil_1,DK_price_with_tax_fuel_oil_2,DK_price_with_tax_LPG,CTR.9,EE_exchange_rate,EE_price_with_tax_euro95,EE_price_with_tax_diesel,EE_price_with_tax_heEEing_oil,EE_price_with_tax_fuel_oil_1,EE_price_with_tax_fuel_oil_2,EE_price_with_tax_LPG,CTR.10,ES_price_with_tax_euro95,ES_price_with_tax_diesel,ES_price_with_tax_heESing_oil,ES_price_with_tax_fuel_oil_1,ES_price_with_tax_fuel_oil_2,ES_price_with_tax_LPG,CTR.11,FI_price_with_tax_euro95,FI_price_with_tax_diesel,FI_price_with_tax_heFIing_oil,FI_price_with_tax_fuel_oil_1,FI_price_with_tax_fuel_oil_2,FI_price_with_tax_LPG,CTR.12,FR_price_with_tax_euro95,FR_price_with_tax_diesel,FR_price_with_tax_heFRing_oil,FR_price_with_tax_fuel_oil_1,FR_price_with_tax_fuel_oil_2,FR_price_with_tax_LPG,CTR.13,GR_price_with_tax_euro95,GR_price_with_tax_diesel,GR_price_with_tax_heGRing_oil,GR_price_with_tax_fuel_oil_1,GR_price_with_tax_fuel_oil_2,GR_price_with_tax_LPG,CTR.14,HR_exchange_rate,HR_price_with_tax_euro95,HR_price_with_tax_diesel,HR_price_with_tax_heHRing_oil,HR_price_with_tax_fuel_oil_1,HR_price_with_tax_fuel_oil_2,HR_price_with_tax_LPG,CTR.15,HU_exchange_rate,HU_price_with_tax_euro95,HU_price_with_tax_diesel,HU_price_with_tax_heHUing_oil,HU_price_with_tax_fuel_oil_1,HU_price_with_tax_fuel_oil_2,HU_price_with_tax_LPG,CTR.16,IE_price_with_tax_euro95,IE_price_with_tax_diesel,IE_price_with_tax_heIEing_oil,IE_price_with_tax_fuel_oil_1,IE_price_with_tax_fuel_oil_2,IE_price_with_tax_LPG,CTR.17,IT_price_with_tax_euro95,IT_price_with_tax_diesel,IT_price_with_tax_heITing_oil,IT_price_with_tax_fuel_oil_1,IT_price_with_tax_fuel_oil_2,IT_price_with_tax_LPG,CTR.18,LT_exchange_rate,LT_price_with_tax_euro95,LT_price_with_tax_diesel,LT_price_with_tax_heLTing_oil,LT_price_with_tax_fuel_oil_1,LT_price_with_tax_fuel_oil_2,LT_price_with_tax_LPG,CTR.19,LU_price_with_tax_euro95,LU_price_with_tax_diesel,LU_price_with_tax_heLUing_oil,LU_price_with_tax_fuel_oil_1,LU_price_with_tax_fuel_oil_2,LU_price_with_tax_LPG,CTR.20,LV_exchange_rate,LV_price_with_tax_euro95,LV_price_with_tax_diesel,LV_price_with_tax_heLVing_oil,LV_price_with_tax_fuel_oil_1,LV_price_with_tax_fuel_oil_2,LV_price_with_tax_LPG,CTR.21,MT_price_with_tax_euro95,MT_price_with_tax_diesel,MT_price_with_tax_heMTing_oil,MT_price_with_tax_fuel_oil_1,MT_price_with_tax_fuel_oil_2,MT_price_with_tax_LPG,CTR.22,NL_price_with_tax_euro95,NL_price_with_tax_diesel,NL_price_with_tax_heNLing_oil,NL_price_with_tax_fuel_oil_1,NL_price_with_tax_fuel_oil_2,NL_price_with_tax_LPG,CTR.23,PL_exchange_rate,PL_price_with_tax_euro95,PL_price_with_tax_diesel,PL_price_with_tax_hePLing_oil,PL_price_with_tax_fuel_oil_1,PL_price_with_tax_fuel_oil_2,PL_price_with_tax_LPG,CTR.24,PT_price_with_tax_euro95,PT_price_with_tax_diesel,PT_price_with_tax_hePTing_oil,PT_price_with_tax_fuel_oil_1,PT_price_with_tax_fuel_oil_2,PT_price_with_tax_LPG,CTR.25,RO_exchange_rate,RO_price_with_tax_euro95,RO_price_with_tax_diesel,RO_price_with_tax_heROing_oil,RO_price_with_tax_fuel_oil_1,RO_price_with_tax_fuel_oil_2,RO_price_with_tax_LPG,CTR.26,SE_exchange_rate,SE_price_with_tax_euro95,SE_price_with_tax_diesel,SE_price_with_tax_heSEing_oil,SE_price_with_tax_fuel_oil_1,SE_price_with_tax_fuel_oil_2,SE_price_with_tax_LPG,CTR.27,SI_exchange_rate,SI_price_with_tax_euro95,SI_price_with_tax_diesel,SI_price_with_tax_heSIing_oil,SI_price_with_tax_fuel_oil_1,SI_price_with_tax_fuel_oil_2,SI_price_with_tax_LPG,CTR.28,SK_exchange_rate,SK_price_with_tax_euro95,SK_price_with_tax_diesel,SK_price_with_tax_heSKing_oil,SK_price_with_tax_fuel_oil_1,SK_price_with_tax_fuel_oil_2,SK_price_with_tax_LPG,CTR.29,UK_exchange_rate,UK_price_with_tax_euro95,UK_price_with_tax_diesel,UK_price_with_tax_heUKing_oil,UK_price_with_tax_fuel_oil_1,UK_price_with_tax_fuel_oil_2,UK_price_with_tax_LPG
2026-05-18,,1881.8121719810783,1901.010138745325,1410.2065183056777,775.5684661910003,659.783325454829,951.219517118576,,1941.9650542871125,1948.4166230167368,1391.1127598874184,757.1267176445684,,975.021058740316,,1813.0,1914.0,1543.38,,,,,1888.77,2111.86,1187.2,554.31,,894.0,,1.0,1505.8,1727.6,,,,792.2,,1.0,1564.03,1817.73,1385.5,1089.61,,,,0.04111673039759878,1742.4859175198385,1672.9986431478967,1345.8328193742032,,,959.5411372887627,,2043.0,1972.0,1319.0,,,1261.5,,0.13380969585056132,2338.993483467812,2181.0980423641495,2241.5800248886035,1541.6482678334871,,,,1.0,1788.0,1818.0,1410.0,,,979.0,,1547.5897730000002,1685.241681,1172.163,709.09,,1027.350371,,2025.3809523809525,2140.0952380952376,1754.79875,,,,,2082.6,2118.44,1677.59,,,1060.67,,2119.0,1815.0,,667.8,,,,1.0,1696.0,1816.0,1340.0,942.1,,872.0,,0.0027694693696687714,1659.194483401739,1726.984730995304,1726.984730995304,1545.3639082751745,,1029.1431862824168,,1825.7,1949.5,1358.65,1087.71,,,,1936.82,1982.73,1821.19,719.18,,830.07,,1.0,1808.42,1931.86,1341.35,,,878.26,,1824.0,1815.0,1254.0,,,786.0,,1.0,1859.6,1902.33,1586.53,,,1054.5,,1340.0,1210.0,1000.0,,,,,2388.04,2284.71,,,,997.29,,0.2356101123860236,1489.8770710340602,1576.4253692474424,1483.382634750326,810.753674685733,685.567961162259,864.8157759953862,,2009.0,1954.0,1965.0,1128.03,,973.0,,0.19196805651539584,1760.9786531521156,1831.947323965292,1297.6599093910775,874.337710205022,,802.7700990555171,,0.09135340063033846,1715.9822774402776,1896.3138902845658,1578.95217649477,1078.7009546430365,,,,1.0,1690.02,1744.22,1420.4,,,1040.5,,1.0,1776.0,1710.0,,,,882.0,,,,,,,,
2026-05-11,,1873.9319842203822,1929.959267934696,1415.1690133743734,801.7727629368654,656.0545400376708,943.3193612592526,,1930.3757833450643,1974.4731925180706,1395.9364108880159,785.5887345622148,,962.0164532597561,,1796.0,1913.0,1561.02,,,,,1940.79,2170.4,1170.2,524.72,,935.0,,1.0,1493.2,1751.4,,,,806.6,,1.0,1562.58,1867.93,1384.88,1115.29,,,,0.04109645337607365,1751.037685447746,1750.462335100481,1362.3063329634654,,,935.6840504664449,,2016.0,1970.0,1319.0,,,1162.75,,0.1338222305489388,2299.0659208307684,2194.684581002596,2215.025560046035,1541.7926826004339,,,,1.0,1754.0,1847.0,1418.0,,,974.0,,1541.31246,1717.858823,1197.132,754.032,,1025.080139,,2140.2083333333335,2367.666666666667,1748.8711111111108,,,,,2083.29,2156.56,1682.56,,,1055.42,,2091.0,1846.0,,667.8,,,,1.0,1700.0,1848.0,1435.0,942.1,,942.0,,0.002808752071454653,1682.2367392331028,1753.4580362152149,1753.4580362152149,1539.8421481335843,,1041.3420922839498,,1816.6,1956.3,1440.3,1067.03,,,,1933.04,2019.92,1832.52,698.36,,842.25,,1.0,1799.9,1962.39,1363.35,,,896.78,,1789.0,1837.0,1279.0,,,754.0,,1.0,1846.2,1960.17,1644.35,,,1053.5,,1340.0,1210.0,1000.0,,,,,2378.16,2287.9,,,,1001.91,,0.2358601820840606,1486.8611550326484,1623.3137835944206,1487.0202086789614,797.8460342237785,681.6934530966142,877.8973873090605,,1979.0,1968.0,1987.0,1120.25,,980.0,,0.19192016121293543,1759.8829287016604,1843.6138566356396,1331.7743018904137,848.2660013434412,,800.2897994434315,,0.09194134142417137,1677.7455983082793,1885.9007952926033,1592.1482094423757,1076.9089321013194,,,,1.0,1661.53,1733.09,1418.78,,,1050.98,,1.0,1768.0,1770.0,,,,906.0,,,,,,,,
2026-05-04,,1861.11371909381,1975.3445404404522,1480.8933145137157,804.2540473925787,631.7155867399571,938.4635367163746,,1909.03492484478,2016.2309122227186,1460.6575386703234,787.8640903211909,,953.8838078219989,,1793.0,1999.0,1653.92,,,,,1871.22,2111.0,1334.7,550.94,,935.0,,1.0,1480.8,1757.4,,,,807.1,,1.0,1542.02,1889.91,1384.39,1115.29,,,,0.04099536752346985,1733.3661296273522,1763.9076784323372,1376.0095109252654,,,966.7117615709425,,2063.0,2088.0,1341.0,,,1159.0,,0.13382402141184344,2366.008698561392,2341.92037470726,2362.2616259618603,1541.8133154901307,,,,1.0,1772.0,1866.0,1462.0,,,976.0,,1528.212325,1734.892399,1258.186,758.555,,1028.9418400000002,,2156.863636363636,2359.5,1972.7912500000002,,,,,2050.53,2160.49,1762.81,,,1063.64,,2082.0,1881.0,,667.8,,,,1.0,1700.0,1879.0,1400.0,942.1,,987.0,,0.0027523188286131066,1650.7403976953256,1727.251117052101,1727.251117052101,1508.9037514105635,,1023.1183092858914,,1804.8,1973.3,1423.0,1160.39,,,,1789.28,2045.59,1908.62,702.18,,816.98,,1.0,1781.82,2000.8,1991.72,,,910.54,,1798.0,1912.0,1362.0,,,803.0,,1.0,1784.0,1921.2,1605.39,,,1073.0,,1340.0,1210.0,1000.0,,,,,2388.81,2365.46,,,,1022.78,,0.23490721165139772,1505.845736124547,1683.5882838824416,1580.623800270483,827.9159287716291,656.4033223137025,884.9222551422043,,1990.0,2028.0,2038.0,1069.06,,1005.0,,0.19239278911826385,1737.1683629297574,1865.3981568770805,1396.3503087904267,850.4069107489851,,794.4206091155703,,0.09229349330872173,1742.0396862021228,2052.791878172589,1688.6940470696816,1077.9880018458698,,,,1.0,1619.77,1742.24,1429.28,,,1050.29,,1.0,1777.0,1849.0,,,,912.0,,,,,,,,
2026-04-27,,1841.5150717050396,1974.3438764056204,1421.3601672053587,766.4473758556363,595.0769976440871,934.9595534957213,,1896.4979433395613,2030.096480779862,1345.2770772838605,751.4831636572311,,946.8941493359233,,1712.0,1910.0,1631.54,,,,,1822.12,2093.58,1252.7,511.8,,932.0,,1.0,1476.8,1767.4,,,,806.4,,1.0,1532.41,1889.55,1384.62,1115.29,,,,0.0410559592724884,1683.2943301720245,1707.4762901835202,1429.8969495422261,,,968.386911360184,,2144.0,2181.0,1270.4,,,1149.0,,0.1338222305489388,2272.301474720981,2234.831250167278,2255.1722292107165,1541.7926826004339,,,,1.0,1712.0,1815.0,1415.0,,,976.0,,1503.841415,1727.2772929999999,1223.711,718.3,,1023.0605360000001,,2087.5652173913045,2337.1739130434785,1839.5777777777778,,,,,2015.84,2163.91,1697.16,,,1059.49,,2042.0,1879.0,1742.0,667.8,,,,1.0,1692.0,1886.0,1435.0,942.1,,1022.0,,0.0027496700395952486,1645.2751808392352,1705.0743707983659,1705.0743707983659,1507.4516058073032,,1021.1111134919732,,1819.3,2052.5,1347.6,1029.57,,,,1732.07,2059.56,1864.67,672.36,,805.95,,1.0,1731.38,1989.91,1397.26,,,913.67,,1759.0,1871.0,1316.0,,,803.0,,1.0,1784.0,1921.2,1605.39,,,1073.0,,1340.0,1210.0,1000.0,,,,,2323.55,2310.84,,,,1033.26,,0.2356101123860236,1442.5199581869788,1620.1521657086187,1523.6563271975483,780.5467088899806,618.3328803106376,894.3579867802406,,1927.0,1958.0,1964.0,1054.33,,1026.0,,0.19625544608862897,1707.1907995446873,1770.5283196608705,1413.8988106919967,856.4136279781765,,803.9741727832946,,0.09269129165314918,1759.9295546183434,2007.1372294572925,1596.2367335588822,1004.1247624785651,,,,1.0,1616.9,1791.4,1470.49,,,1048.22,,1.0,1688.0,1787.0,,,,901.0,,,,,,,,
2026-04-20,,1827.4498892009935,2007.9255021607516,1463.983752029735,782.2518887113123,588.0934222581129,933.5250103094468,,1887.4682709377553,2067.039967424813,1388.6325938965767,767.4727569669991,,942.7926214156397,,1691.0,1948.0,1669.48,,,,,1834.52,2193.1,1265.2,496.69,,932.0,,1.0,1478.4,1773.9,,,,800.4,,1.0,1530.92,1868.42,1368.87,1150.18,,,,0.041170900407591915,1672.4031454567912,1756.1035859854255,1365.5564247190086,,,970.6039771089794,,2106.0,2133.0,1341.0,,,1140.25,,0.13380790537104933,2218.535071051998,2221.211229159419,2295.0731929242384,1541.6276393609337,,,,1.0,1717.0,1878.0,1476.0,,,975.0,,1516.9576989999998,1807.678016,1284.823,738.68,,1016.043102,,1960.75,2245.8333333333335,1789.113888888889,,,,,2022.56,2244.13,1719.95,,,1053.72,,2025.0,1946.0,1782.0,667.8,,,,1.0,1712.0,1964.0,1515.0,942.1,,1102.0,,0.0027587728978150515,1651.3956538929694,1715.3615591809914,1715.3615591809914,1699.4041050540718,,1025.2379357044272,,1907.0,2153.1,1373.9,1023.67,,,,1762.82,2114.71,1911.71,669.27,,803.78,,1.0,1705.35,2040.68,1368.12,,,863.71,,1721.0,1872.0,1322.0,,,820.0,,1.0,1791.4,2006.17,1690.36,,,1077.75,,1340.0,1210.0,1000.0,,,,,2279.41,2296.34,,,,1044.08,,0.23621117278847287,1414.287864854663,1635.5247046487182,1503.390035625253,769.2199416818409,611.0763835877403,904.1665647668096,,1899.0,1980.0,1989.0,1078.03,,1027.0,,0.1961207319225715,1618.1488095088025,1814.207145842896,1394.931071169546,915.4422452999463,,795.1923589171587,,0.09286344430514928,1716.209314203464,2017.0868737521475,1647.211775084738,1015.4617634768074,,,,1.0,1646.52,1874.21,1579.68,,,1049.37,,1.0,1694.0,1772.0,,,,901.0,,,,,,,,
2026-04-13,,1853.7237229191821,2099.7193271785095,1544.8925078100951,731.1078807548339,631.1969303524949,922.9677463278349,,1915.4312889665782,2154.2233466307835,1466.7120776797524,710.2876884923611,,930.0897585250896,,1718.0,2075.0,1764.77,,,,,1874.94,2326.01,1415.1,514.72,,1034.0,,1.0,1470.1,1755.7,,,,783.9,,1.0,1520.29,1844.27,1361.09,1150.18,,,,0.04102059233735335,1692.96086635491,1869.18533103618,1500.943473623759,,,964.6812699975387,,2141.0,2275.0,1374.9,,,1105.25,,0.13382043973396499,2232.1249347625358,2341.857695344387,2375.5804461573466,1541.7720502629575,,,,1.0,1742.0,2058.0,1586.0,,,973.0,,1552.351502,1884.745988,1380.9260000000002,647.45,,994.733021,,2010.72,2304.1250000000005,1985.5719444444444,,,,,2036.14,2313.9,1814.97,,,1034.08,,2062.0,2058.0,1816.0,667.8,,,,1.0,1720.0,1990.0,1590.0,942.1,,1152.0,,0.002725538293813028,1634.9406481896235,1706.363455845164,1706.363455845164,1678.9315889888253,,1014.9207265728203,,1916.9,2161.2,1603.55,1049.2,,,,1782.67,2153.44,1979.76,691.36,,797.96,,1.0,1744.99,2150.45,1491.93,,,926.9,,1721.0,2007.0,1469.0,,,876.0,,1.0,1833.4,2124.0,1808.19,,,1080.0,,1340.0,1210.0,1000.0,,,,,2315.74,2468.78,,,,1042.21,,0.2350562959828879,1433.9202192637879,1769.3823472776394,1661.2638702679394,843.8558217270298,655.8643965961555,901.5483945854102,,1911.0,2083.0,2091.0,1123.04,,1030.0,,0.1963864886095837,1749.5602674571162,1915.409986443553,1389.0327833857039,985.8167463179138,,792.2135574594251,,0.09181050312155711,1712.2658832170403,2129.360998898274,1741.094381197209,1038.744032317297,,,,1.0,1634.76,1852.15,1510.89,,,1046.94,,1.0,1669.0,1750.0,,,,852.0,,,,,,,,
2026-04-06,,1878.7340291513262,2112.2746554519786,1648.8167414818995,741.7741988103462,659.7575745293888,889.8776732114064,,1945.947462900365,2158.2529639185195,1575.328898898645,721.4397367653881,,888.7792556267826,,1787.0,2228.0,1836.11,,,,,1896.5,2309.67,1606.3,609.63,,1034.0,,1.0,1459.4,1695.4,,,,741.8,,1.0,1513.28,1843.67,1353.75,1150.18,,,,0.040764746647099594,1692.6745750275165,1976.8456239044476,1598.9971872324816,,,959.3575475928418,,2241.0,2434.0,1530.9,,,1105.25,,0.13382402141184344,2272.3318835731015,2368.6851789896286,2402.4088323854135,1541.8133154901307,,,,1.0,1775.0,2034.0,1595.0,,,976.0,,1553.685055,1813.077605,1256.056,657.59,,935.62167,,2012.0,2257.95,2115.0,,,,,2031.62,2233.7,1873.17,,,1001.31,,2073.0,2072.0,1793.0,667.8,,,,1.0,1677.0,1868.0,1470.0,942.1,,1177.0,,0.0026157467957101752,1574.1005323898662,1667.1027724005992,1667.1027724005992,1258.1742087365942,,923.3794327259218,,1880.5,2098.7,1610.4,1093.19,,,,1761.93,2092.08,2075.87,726.55,,727.32,,1.0,1755.02,2178.06,1581.83,,,927.19,,1758.0,2186.0,1649.0,,,876.0,,1.0,1838.0,2056.0,1646.28,,,1085.0,,1340.0,1210.0,1000.0,,,,,2362.82,2584.74,,,,1048.63,,0.2339017144995673,1433.0831122494562,1802.715110905898,1690.3927405263837,751.1361811487176,685.5412038788131,899.4698941773908,,1938.0,2131.0,2113.0,1113.87,,980.0,,0.19625544608862897,1797.384969946013,2022.344104321295,1487.7254809279386,890.4607012162022,,780.453416963044,,0.09099181073703366,1747.2247497725205,2199.454049135578,1804.7315741583257,1079.9818016378526,,,,1.0,1606.96,1769.08,1437.05,,,902.89,,1.0,1665.0,1751.0,,,,752.0,,,,,,,,
2026-03-30,,1871.5085171582546,2075.6614311823746,1452.484739296137,751.3465005503166,642.2486708434743,841.1903210715576,,1907.6938378599423,2090.282212354372,1376.2612679448584,732.3884438696656,,836.1017862532409,,1879.0,2204.0,1749.01,,,,,1848.31,2225.47,1399.8,553.28,,1054.0,,1.0,1444.3,1619.9,,,,674.2,,1.0,1578.79,1842.67,1318.46,1150.18,,,,0.040724903278354714,1685.0335980452046,1966.6055793117491,1460.5172062716351,,,920.54571370393,,2134.0,2286.0,1236.3,,,1038.6,,0.13382043973396499,2232.1249347625358,2355.239739317784,2375.5804461573466,1541.7720502629575,,,,1.0,1730.0,2012.0,1565.0,,,966.0,,1557.6367879999998,1777.062571,1231.08,672.84,,927.437631,,2049.0000000000005,2270.3499999999995,2060.0369444444445,,,,,2009.15,2188.8,1741.12,,,969.89,,2046.0,2118.0,1695.0,667.8,,,,1.0,1680.0,1881.0,1440.0,942.1,,1257.0,,0.0025671963648499475,1537.7151517892462,1619.85785047547,1619.85785047547,1234.8214514928247,,902.1657123962017,,1958.1,2178.0,1497.45,1104.48,,,,1733.36,2032.73,1938.78,710.55,,662.05,,1.0,1738.6863636363635,2124.72,1502.37,,,904.51,,1700.0,2005.0,1464.0,,,930.0,,1.0,1869.2,2048.0,1646.28,,,1053.25,,1340.0,1210.0,1000.0,,,,,2334.08,2463.25,,,,1020.14,,0.23319264044026772,1680.5544406116442,2017.3956875014017,1597.4880569206414,824.6491440459205,667.3480441867824,863.8013501205289,,1917.0,2072.0,2043.0,1131.15,,958.0,,0.19617074701820464,1837.305790960452,2032.0307595731324,1365.248352165725,869.6504237288135,,764.7029974890145,,0.09169264624977076,1711.534934898221,2148.9088575096275,1735.6501008619107,1053.2734274711167,,,,1.0,1506.95,1619.89,1286.58,,,847.67,,1.0,1577.0,1687.0,,,,737.0,,,,,,,,
2026-03-23,,1893.491226878209,2064.331085408922,1470.2958882396752,752.6537366946667,665.8626780486771,847.235399239374,,1931.984711786373,2078.483401350305,1395.5412378652793,734.0258765284515,,849.0102633289086,,1841.0,2109.0,1738.4,,,,,1801.4,2164.05,1390.8,535.39,,1000.0,,1.0,1394.3,1545.8,,,,637.6,,1.0,1486.32,1702.91,1188.25,800.81,,,,0.041283078066300626,1685.7119266812535,1934.0296412500518,1487.0164719481486,,,848.9865004334723,,2130.0,2297.0,1243.6,,,1079.0,,0.13385626514249,2246.108129090982,2382.641519536322,2389.6020453237315,1542.1848019596557,,,,1.0,1777.0,1974.0,1544.0,,,906.0,,1733.0373129999998,1883.3399299999999,1449.7521348716173,682.55,,969.056258,,2115.0,2319.6,2159.0,,,,,1973.02,2108.79,1776.66,,,962.54,,2037.0,2055.0,1639.0,667.8,,,,1.0,1565.0,1693.0,1280.0,892.1,,1107.0,,0.002634005004609509,1580.356569315618,1670.9137177846608,1670.9137177846608,1266.9564072171738,,871.0496403013137,,1885.0,2079.8,1475.65,1111.65,,,,1778.74,2023.15,1893.95,716.55,,690.52,,1.0,1725.23,2100.5,1501.81,,,876.71,,1727.0,2006.0,1460.0,,,973.0,,1.0,1791.4,2023.0,1621.28,,,1016.25,,1340.0,1210.0,1000.0,,,,,2346.79,2475.07,,,,1001.17,,0.2371185355559244,1686.9632088675667,1992.1658287789794,1618.48891118838,799.8453034397896,691.8848976505794,846.2904349482787,,1922.0,2046.0,2016.0,1086.66,,910.0,,0.19619768879122604,1791.031803645353,1924.5443308677823,1282.8444740920952,771.9515784104063,,763.7505150189331,,0.09349726520499275,1774.8585853863774,2244.588845776261,1757.281099527839,1069.0477303538871,,,,1.0,1464.98,1524.36,1199.65,,,847.67,,1.0,1531.0,1573.0,,,,683.0,,,,,,,,
2026-03-16,,1837.92605357412,1949.082448458519,1375.2427798309639,744.3021239261781,626.3769287394243,832.1775975855097,,1890.2967351767113,1981.9112889979292,1309.1913778774765,730.0661712333718,,849.9666094238576,,1743.0,1954.0,1618.39,,,,,1691.38,1972.84,1177.1,489.7,,937.0,,1.0,1331.2,1436.8,,,,615.8,,1.0,1424.02,1588.89,1094.44,800.81,,,,0.04092322802422655,1561.3439188083155,1740.9150433786217,1185.9960713701096,,,811.3439188083156,,2085.0,2146.0,1207.9,,,1069.0,,0.13383297644539613,2178.800856531049,2208.2441113490363,2215.2034261241965,1541.916488222698,,,,1.0,1654.0,1775.0,1308.0,,,903.0,,1708.742645,1836.787014,1372.887,693.79,,961.9099679999999,,1958.79166666667,2108.25,1954.0,,,,,1897.93,2017.37,1660.62,,,955.88,,1924.0,1902.0,1470.0,667.8,,,,1.0,1550.0,1672.0,1155.0,842.1,,1000.0,,0.0025625912923147886,1534.29,1612.866,1612.866,1111.3445916510775,,846.9445059998899,,1834.5,1927.8,1438.55,1068.5,,,,1819.19,2033.45,1773.48,675.4,,716.09,,1.0,1635.4,1951.72,1306.7,,,806.41,,1654.0,1780.0,1224.0,,,882.0,,1.0,1677.4,1919.0,1517.28,,,965.25,,1340.0,1210.0,1000.0,,,,,2262.13,2264.15,,,,920.74,,0.23428531265374974,1578.2128085142351,1782.1431283348586,1468.9392881728213,741.389433431055,650.8560271039536,767.1523168455558,,1849.0,1915.0,1880.0,1008.39,,895.0,,0.19628241113313838,1673.0857557854245,1762.7141931811493,1113.355055253499,687.045360865213,,747.1627377470705,,0.09285913269570062,1654.471167239298,1988.3926084130374,1577.9552418980406,993.8712972420838,,,,1.0,1443.02,1483.72,1145.2,,,847.32,,1.0,1524.0,1528.0,,,,681.0,,,,,,,,
