Date,EU_price_with_tax_euro95,EU_price_with_tax_diesel,EUR_price_with_tax_euro95,EUR_price_with_tax_diesel,AT_price_with_tax_euro95,AT_price_with_tax_diesel,BE_price_with_tax_euro95,BE_price_with_tax_diesel,BG_price_with_tax_euro95,BG_price_with_tax_diesel,CY_price_with_tax_euro95,CY_price_with_tax_diesel,CZ_price_with_tax_euro95,CZ_price_with_tax_diesel,DE_price_with_tax_euro95,DE_price_with_tax_diesel,DK_price_with_tax_euro95,DK_price_with_tax_diesel,EE_price_with_tax_euro95,EE_price_with_tax_diesel,ES_price_with_tax_euro95,ES_price_with_tax_diesel,FI_price_with_tax_euro95,FI_price_with_tax_diesel,FR_price_with_tax_euro95,FR_price_with_tax_diesel,GR_price_with_tax_euro95,GR_price_with_tax_diesel,HR_price_with_tax_euro95,HR_price_with_tax_diesel,HU_price_with_tax_euro95,HU_price_with_tax_diesel,IE_price_with_tax_euro95,IE_price_with_tax_diesel,IT_price_with_tax_euro95,IT_price_with_tax_diesel,LT_price_with_tax_euro95,LT_price_with_tax_diesel,LU_price_with_tax_euro95,LU_price_with_tax_diesel,LV_price_with_tax_euro95,LV_price_with_tax_diesel,MT_price_with_tax_euro95,MT_price_with_tax_diesel,NL_price_with_tax_euro95,NL_price_with_tax_diesel,PL_price_with_tax_euro95,PL_price_with_tax_diesel,PT_price_with_tax_euro95,PT_price_with_tax_diesel,RO_price_with_tax_euro95,RO_price_with_tax_diesel,SE_price_with_tax_euro95,SE_price_with_tax_diesel,SI_price_with_tax_euro95,SI_price_with_tax_diesel,SK_price_with_tax_euro95,SK_price_with_tax_diesel,UK_price_with_tax_euro95,UK_price_with_tax_diesel
2026-05-18,1881.8121719810783,1901.010138745325,1941.9650542871125,1948.4166230167368,1813.0,1914.0,1888.77,2111.86,1505.8,1727.6,1564.03,1817.73,1742.4859175198385,1672.9986431478967,2043.0,1972.0,2338.993483467812,2181.0980423641495,1788.0,1818.0,1547.5897730000002,1685.241681,2025.3809523809525,2140.0952380952376,2082.6,2118.44,2119.0,1815.0,1696.0,1816.0,1659.194483401739,1726.984730995304,1825.7,1949.5,1936.82,1982.73,1808.42,1931.86,1824.0,1815.0,1859.6,1902.33,1340.0,1210.0,2388.04,2284.71,1489.8770710340602,1576.4253692474424,2009.0,1954.0,1760.9786531521156,1831.947323965292,1715.9822774402776,1896.3138902845658,1690.02,1744.22,1776.0,1710.0,,
2026-05-11,1873.9319842203822,1929.959267934696,1930.3757833450643,1974.4731925180706,1796.0,1913.0,1940.79,2170.4,1493.2,1751.4,1562.58,1867.93,1751.037685447746,1750.462335100481,2016.0,1970.0,2299.0659208307684,2194.684581002596,1754.0,1847.0,1541.31246,1717.858823,2140.2083333333335,2367.666666666667,2083.29,2156.56,2091.0,1846.0,1700.0,1848.0,1682.2367392331028,1753.4580362152149,1816.6,1956.3,1933.04,2019.92,1799.9,1962.39,1789.0,1837.0,1846.2,1960.17,1340.0,1210.0,2378.16,2287.9,1486.8611550326484,1623.3137835944206,1979.0,1968.0,1759.8829287016604,1843.6138566356396,1677.7455983082793,1885.9007952926033,1661.53,1733.09,1768.0,1770.0,,
2026-05-04,1861.11371909381,1975.3445404404522,1909.03492484478,2016.2309122227186,1793.0,1999.0,1871.22,2111.0,1480.8,1757.4,1542.02,1889.91,1733.3661296273522,1763.9076784323372,2063.0,2088.0,2366.008698561392,2341.92037470726,1772.0,1866.0,1528.212325,1734.892399,2156.863636363636,2359.5,2050.53,2160.49,2082.0,1881.0,1700.0,1879.0,1650.7403976953256,1727.251117052101,1804.8,1973.3,1789.28,2045.59,1781.82,2000.8,1798.0,1912.0,1784.0,1921.2,1340.0,1210.0,2388.81,2365.46,1505.845736124547,1683.5882838824416,1990.0,2028.0,1737.1683629297574,1865.3981568770805,1742.0396862021228,2052.791878172589,1619.77,1742.24,1777.0,1849.0,,
2026-04-27,1841.5150717050396,1974.3438764056204,1896.4979433395613,2030.096480779862,1712.0,1910.0,1822.12,2093.58,1476.8,1767.4,1532.41,1889.55,1683.2943301720245,1707.4762901835202,2144.0,2181.0,2272.301474720981,2234.831250167278,1712.0,1815.0,1503.841415,1727.2772929999999,2087.5652173913045,2337.1739130434785,2015.84,2163.91,2042.0,1879.0,1692.0,1886.0,1645.2751808392352,1705.0743707983659,1819.3,2052.5,1732.07,2059.56,1731.38,1989.91,1759.0,1871.0,1784.0,1921.2,1340.0,1210.0,2323.55,2310.84,1442.5199581869788,1620.1521657086187,1927.0,1958.0,1707.1907995446873,1770.5283196608705,1759.9295546183434,2007.1372294572925,1616.9,1791.4,1688.0,1787.0,,
2026-04-20,1827.4498892009935,2007.9255021607516,1887.4682709377553,2067.039967424813,1691.0,1948.0,1834.52,2193.1,1478.4,1773.9,1530.92,1868.42,1672.4031454567912,1756.1035859854255,2106.0,2133.0,2218.535071051998,2221.211229159419,1717.0,1878.0,1516.9576989999998,1807.678016,1960.75,2245.8333333333335,2022.56,2244.13,2025.0,1946.0,1712.0,1964.0,1651.3956538929694,1715.3615591809914,1907.0,2153.1,1762.82,2114.71,1705.35,2040.68,1721.0,1872.0,1791.4,2006.17,1340.0,1210.0,2279.41,2296.34,1414.287864854663,1635.5247046487182,1899.0,1980.0,1618.1488095088025,1814.207145842896,1716.209314203464,2017.0868737521475,1646.52,1874.21,1694.0,1772.0,,
2026-04-13,1853.7237229191821,2099.7193271785095,1915.4312889665782,2154.2233466307835,1718.0,2075.0,1874.94,2326.01,1470.1,1755.7,1520.29,1844.27,1692.96086635491,1869.18533103618,2141.0,2275.0,2232.1249347625358,2341.857695344387,1742.0,2058.0,1552.351502,1884.745988,2010.72,2304.1250000000005,2036.14,2313.9,2062.0,2058.0,1720.0,1990.0,1634.9406481896235,1706.363455845164,1916.9,2161.2,1782.67,2153.44,1744.99,2150.45,1721.0,2007.0,1833.4,2124.0,1340.0,1210.0,2315.74,2468.78,1433.9202192637879,1769.3823472776394,1911.0,2083.0,1749.5602674571162,1915.409986443553,1712.2658832170403,2129.360998898274,1634.76,1852.15,1669.0,1750.0,,
2026-04-06,1878.7340291513262,2112.2746554519786,1945.947462900365,2158.2529639185195,1787.0,2228.0,1896.5,2309.67,1459.4,1695.4,1513.28,1843.67,1692.6745750275165,1976.8456239044476,2241.0,2434.0,2272.3318835731015,2368.6851789896286,1775.0,2034.0,1553.685055,1813.077605,2012.0,2257.95,2031.62,2233.7,2073.0,2072.0,1677.0,1868.0,1574.1005323898662,1667.1027724005992,1880.5,2098.7,1761.93,2092.08,1755.02,2178.06,1758.0,2186.0,1838.0,2056.0,1340.0,1210.0,2362.82,2584.74,1433.0831122494562,1802.715110905898,1938.0,2131.0,1797.384969946013,2022.344104321295,1747.2247497725205,2199.454049135578,1606.96,1769.08,1665.0,1751.0,,
2026-03-30,1871.5085171582546,2075.6614311823746,1907.6938378599423,2090.282212354372,1879.0,2204.0,1848.31,2225.47,1444.3,1619.9,1578.79,1842.67,1685.0335980452046,1966.6055793117491,2134.0,2286.0,2232.1249347625358,2355.239739317784,1730.0,2012.0,1557.6367879999998,1777.062571,2049.0000000000005,2270.3499999999995,2009.15,2188.8,2046.0,2118.0,1680.0,1881.0,1537.7151517892462,1619.85785047547,1958.1,2178.0,1733.36,2032.73,1738.6863636363635,2124.72,1700.0,2005.0,1869.2,2048.0,1340.0,1210.0,2334.08,2463.25,1680.5544406116442,2017.3956875014017,1917.0,2072.0,1837.305790960452,2032.0307595731324,1711.534934898221,2148.9088575096275,1506.95,1619.89,1577.0,1687.0,,
2026-03-23,1893.491226878209,2064.331085408922,1931.984711786373,2078.483401350305,1841.0,2109.0,1801.4,2164.05,1394.3,1545.8,1486.32,1702.91,1685.7119266812535,1934.0296412500518,2130.0,2297.0,2246.108129090982,2382.641519536322,1777.0,1974.0,1733.0373129999998,1883.3399299999999,2115.0,2319.6,1973.02,2108.79,2037.0,2055.0,1565.0,1693.0,1580.356569315618,1670.9137177846608,1885.0,2079.8,1778.74,2023.15,1725.23,2100.5,1727.0,2006.0,1791.4,2023.0,1340.0,1210.0,2346.79,2475.07,1686.9632088675667,1992.1658287789794,1922.0,2046.0,1791.031803645353,1924.5443308677823,1774.8585853863774,2244.588845776261,1464.98,1524.36,1531.0,1573.0,,
2026-03-16,1837.92605357412,1949.082448458519,1890.2967351767113,1981.9112889979292,1743.0,1954.0,1691.38,1972.84,1331.2,1436.8,1424.02,1588.89,1561.3439188083155,1740.9150433786217,2085.0,2146.0,2178.800856531049,2208.2441113490363,1654.0,1775.0,1708.742645,1836.787014,1958.79166666667,2108.25,1897.93,2017.37,1924.0,1902.0,1550.0,1672.0,1534.29,1612.866,1834.5,1927.8,1819.19,2033.45,1635.4,1951.72,1654.0,1780.0,1677.4,1919.0,1340.0,1210.0,2262.13,2264.15,1578.2128085142351,1782.1431283348586,1849.0,1915.0,1673.0857557854245,1762.7141931811493,1654.471167239298,1988.3926084130374,1443.02,1483.72,1524.0,1528.0,,
