Date,country,fuel_type,price_type,price_per_1000l
2026-05-18,EU,euro95,with_tax,1881.8121719810783
2026-05-11,EU,euro95,with_tax,1873.9319842203824
2026-05-04,EU,euro95,with_tax,1861.11371909381
2026-04-27,EU,euro95,with_tax,1841.51507170504
2026-04-20,EU,euro95,with_tax,1827.4498892009933
2026-04-13,EU,euro95,with_tax,1853.723722919182
2026-04-06,EU,euro95,with_tax,1878.7340291513265
2026-03-30,EU,euro95,with_tax,1871.5085171582543
2026-03-23,EU,euro95,with_tax,1893.491226878209
2026-03-16,EU,euro95,with_tax,1837.92605357412
2026-03-09,EU,euro95,with_tax,1774.0847793832666
2026-03-02,EU,euro95,with_tax,1664.6510175526491
2026-02-23,EU,euro95,with_tax,1637.231143049459
2026-02-16,EU,euro95,with_tax,1631.95305277991
2026-02-09,EU,euro95,with_tax,1623.450155431859
2026-02-02,EU,euro95,with_tax,1621.921312499324
2026-01-26,EU,euro95,with_tax,1615.0223080067574
2026-01-19,EU,euro95,with_tax,1611.296636295135
2026-01-12,EU,euro95,with_tax,1604.6590932164988
2026-01-05,EU,euro95,with_tax,1604.5514813278862
2025-12-29,EU,euro95,with_tax,1585.7555123171894
2025-12-22,EU,euro95,with_tax,1586.8823553435782
2025-12-15,EU,euro95,with_tax,1605.3345911018723
2025-12-08,EU,euro95,with_tax,1619.5362882213838
2025-12-01,EU,euro95,with_tax,1628.9672680359574
2025-11-24,EU,euro95,with_tax,1638.7850342457016
2025-11-17,EU,euro95,with_tax,1639.1871996979835
2025-11-10,EU,euro95,with_tax,1624.586991170489
2025-11-03,EU,euro95,with_tax,1619.4329725456553
2025-10-27,EU,euro95,with_tax,1614.6729296640626
2025-10-20,EU,euro95,with_tax,1608.4867799579126
2025-10-13,EU,euro95,with_tax,1616.0437579654488
2025-10-06,EU,euro95,with_tax,1619.859623238035
2025-09-29,EU,euro95,with_tax,1622.8401463473888
2025-09-22,EU,euro95,with_tax,1622.8622566120032
2025-09-15,EU,euro95,with_tax,1621.79112029896
2025-09-08,EU,euro95,with_tax,1615.7906028753578
2025-09-01,EU,euro95,with_tax,1607.3624223989696
2025-08-25,EU,euro95,with_tax,1609.5031933232642
2025-08-18,EU,euro95,with_tax,1605.807753373269
2025-08-11,EU,euro95,with_tax,1611.7273805741183
2025-08-04,EU,euro95,with_tax,1616.817755398579
2025-07-28,EU,euro95,with_tax,1614.3271374462763
2025-07-21,EU,euro95,with_tax,1620.2065159572992
2025-07-14,EU,euro95,with_tax,1621.5070269051853
2025-07-07,EU,euro95,with_tax,1621.3017069860084
2025-06-30,EU,euro95,with_tax,1632.8618023811184
2025-06-23,EU,euro95,with_tax,1639.2064379547464
2025-06-16,EU,euro95,with_tax,1615.692591011363
2025-06-09,EU,euro95,with_tax,1598.598759031333
2025-06-02,EU,euro95,with_tax,1599.3587783940682
2025-05-26,EU,euro95,with_tax,1602.3434268388887
2025-05-19,EU,euro95,with_tax,1603.7996009292904
2025-05-12,EU,euro95,with_tax,1598.7771743152805
2025-05-05,EU,euro95,with_tax,1602.3121122634818
2025-04-28,EU,euro95,with_tax,1609.7821831163928
2025-04-21,EU,euro95,with_tax,1614.5576817184933
2025-04-14,EU,euro95,with_tax,1622.4866741129845
2025-04-07,EU,euro95,with_tax,1647.8264137629876
2025-03-31,EU,euro95,with_tax,1653.155454628982
2025-03-24,EU,euro95,with_tax,1640.2837469436672
2025-03-17,EU,euro95,with_tax,1645.327319833859
2025-03-10,EU,euro95,with_tax,1660.8700714917672
2025-03-03,EU,euro95,with_tax,1689.384631633554
2025-02-24,EU,euro95,with_tax,1702.4860710430542
2025-02-17,EU,euro95,with_tax,1706.384757306826
2025-02-10,EU,euro95,with_tax,1704.5400529140963
2025-02-03,EU,euro95,with_tax,1697.430596843302
2025-01-27,EU,euro95,with_tax,1701.9593836825668
2025-01-20,EU,euro95,with_tax,1700.7525697060064
2025-01-13,EU,euro95,with_tax,1678.6335088486042
2025-01-06,EU,euro95,with_tax,1671.005017920467
2024-12-30,EU,euro95,with_tax,1652.128802712061
2024-12-23,EU,euro95,with_tax,1651.0668429587922
2024-12-16,EU,euro95,with_tax,1644.9388113218267
2024-12-09,EU,euro95,with_tax,1639.4117095928775
2024-12-02,EU,euro95,with_tax,1641.7963373736486
2024-11-25,EU,euro95,with_tax,1644.6161988952554
2024-11-18,EU,euro95,with_tax,1635.6976606393118
2024-11-11,EU,euro95,with_tax,1631.0766322029144
2024-11-04,EU,euro95,with_tax,1629.2663410422444
2024-10-28,EU,euro95,with_tax,1639.1512027081556
2024-10-21,EU,euro95,with_tax,1640.199077760917
2024-10-14,EU,euro95,with_tax,1640.039649284741
2024-10-07,EU,euro95,with_tax,1618.6083967126335
2024-09-30,EU,euro95,with_tax,1611.1134199308574
2024-09-23,EU,euro95,with_tax,1621.96809720484
2024-09-16,EU,euro95,with_tax,1624.5369295953376
2024-09-09,EU,euro95,with_tax,1640.2052804944135
2024-09-02,EU,euro95,with_tax,1667.1299841503242
2024-08-26,EU,euro95,with_tax,1679.0239373432053
2024-08-19,EU,euro95,with_tax,1698.731482867957
2024-08-12,EU,euro95,with_tax,1705.6149500989648
2024-08-05,EU,euro95,with_tax,1717.3960350848115
2024-07-29,EU,euro95,with_tax,1726.5292546601024
2024-07-22,EU,euro95,with_tax,1732.2573907745193
2024-07-15,EU,euro95,with_tax,1742.418832220278
2024-07-08,EU,euro95,with_tax,1747.8744499795012
2024-07-01,EU,euro95,with_tax,1738.60269567258
2024-06-24,EU,euro95,with_tax,1730.7087667750557
2024-06-17,EU,euro95,with_tax,1723.1734545706106
2024-06-10,EU,euro95,with_tax,1723.819932664299
2024-06-03,EU,euro95,with_tax,1741.8449858013737
2024-05-27,EU,euro95,with_tax,1753.729776617715
2024-05-20,EU,euro95,with_tax,1768.011903714391
2024-05-13,EU,euro95,with_tax,1779.4302971950888
2024-05-06,EU,euro95,with_tax,1791.3149889844324
2024-04-29,EU,euro95,with_tax,1800.9766564164568
2024-04-22,EU,euro95,with_tax,1808.1935094112991
2024-04-15,EU,euro95,with_tax,1805.6198759509348
2024-04-08,EU,euro95,with_tax,1795.9111538733798
2024-04-01,EU,euro95,with_tax,1775.7356859656422
2024-03-25,EU,euro95,with_tax,1754.7302777641132
2024-03-18,EU,euro95,with_tax,1737.2664757180587
2024-03-11,EU,euro95,with_tax,1732.5254895283747
2024-03-04,EU,euro95,with_tax,1731.2900301278466
2024-02-26,EU,euro95,with_tax,1728.993904178691
2024-02-19,EU,euro95,with_tax,1731.045937528698
2024-02-12,EU,euro95,with_tax,1714.405528749658
2024-02-05,EU,euro95,with_tax,1694.9570947850204
2024-01-29,EU,euro95,with_tax,1687.1374350776764
2024-01-22,EU,euro95,with_tax,1666.1093925947853
2024-01-15,EU,euro95,with_tax,1663.1169803822834
2024-01-08,EU,euro95,with_tax,1666.5707919098293
2024-01-01,EU,euro95,with_tax,1661.23986712701
2023-12-25,EU,euro95,with_tax,1667.1650490392396
2023-12-18,EU,euro95,with_tax,1664.8684884545742
2023-12-11,EU,euro95,with_tax,1681.6251078280402
2023-12-04,EU,euro95,with_tax,1701.5133370509232
2023-11-27,EU,euro95,with_tax,1718.0425183378466
2023-11-20,EU,euro95,with_tax,1720.2215849814584
2023-11-13,EU,euro95,with_tax,1738.5520158762586
2023-11-06,EU,euro95,with_tax,1757.0883447951262
2023-10-30,EU,euro95,with_tax,1755.0128433238194
2023-10-23,EU,euro95,with_tax,1763.569337086049
2023-10-16,EU,euro95,with_tax,1765.4537304397263
2023-10-09,EU,euro95,with_tax,1789.4129144670685
2023-10-02,EU,euro95,with_tax,1823.9590162605336
2023-09-25,EU,euro95,with_tax,1839.163201542838
2023-09-18,EU,euro95,with_tax,1838.0931645850096
2023-09-11,EU,euro95,with_tax,1830.315542691348
2023-09-04,EU,euro95,with_tax,1833.6932125327085
2023-08-28,EU,euro95,with_tax,1827.464904583091
2023-08-21,EU,euro95,with_tax,1815.9794619096544
2023-08-14,EU,euro95,with_tax,1811.5945443220903
2023-08-07,EU,euro95,with_tax,1800.0128060185675
2023-07-31,EU,euro95,with_tax,1786.733838039204
2023-07-24,EU,euro95,with_tax,1746.7928577556563
2023-07-17,EU,euro95,with_tax,1736.533861210336
2023-07-10,EU,euro95,with_tax,1726.2716188682898
2023-07-03,EU,euro95,with_tax,1727.9076292383809
2023-06-26,EU,euro95,with_tax,1721.8557586013674
2023-06-19,EU,euro95,with_tax,1721.9937478877955
2023-06-12,EU,euro95,with_tax,1725.3010886664713
2023-06-05,EU,euro95,with_tax,1711.9476883475709
2023-05-29,EU,euro95,with_tax,1714.7314406419894
2023-05-22,EU,euro95,with_tax,1701.2079531310558
2023-05-15,EU,euro95,with_tax,1699.4962820601795
2023-05-08,EU,euro95,with_tax,1705.745605965603
2023-05-01,EU,euro95,with_tax,1728.7492086785105
2023-04-24,EU,euro95,with_tax,1740.3455349610097
2023-04-17,EU,euro95,with_tax,1766.0489270539008
2023-04-10,EU,euro95,with_tax,1758.4088798071507
2023-04-03,EU,euro95,with_tax,1733.7669100532262
2023-03-27,EU,euro95,with_tax,1714.7139728909874
2023-03-20,EU,euro95,with_tax,1707.856922678881
2023-03-13,EU,euro95,with_tax,1729.2085092861812
2023-03-06,EU,euro95,with_tax,1727.633652505333
2023-02-27,EU,euro95,with_tax,1719.708845012519
2023-02-20,EU,euro95,with_tax,1723.769344283044
2023-02-13,EU,euro95,with_tax,1720.5674787588368
2023-02-06,EU,euro95,with_tax,1724.488060056441
2023-01-30,EU,euro95,with_tax,1741.2069159955208
2023-01-23,EU,euro95,with_tax,1715.620815853537
2023-01-16,EU,euro95,with_tax,1692.9402261417354
2023-01-09,EU,euro95,with_tax,1687.0056881043051
2023-01-02,EU,euro95,with_tax,1666.3878418818915
2022-12-26,EU,euro95,with_tax,1625.41164307249
2022-12-19,EU,euro95,with_tax,1629.665879694775
2022-12-12,EU,euro95,with_tax,1646.221520943468
2022-12-05,EU,euro95,with_tax,1685.1926815414492
2022-11-28,EU,euro95,with_tax,1699.0619208491355
2022-11-21,EU,euro95,with_tax,1734.177016903636
2022-11-14,EU,euro95,with_tax,1777.041222010604
2022-11-07,EU,euro95,with_tax,1790.6652881291957
2022-10-31,EU,euro95,with_tax,1779.1717620235884
2022-10-24,EU,euro95,with_tax,1786.969625975663
2022-10-17,EU,euro95,with_tax,1807.734031428855
2022-10-10,EU,euro95,with_tax,1774.0440050790703
2022-10-03,EU,euro95,with_tax,1723.0483817374827
2022-09-26,EU,euro95,with_tax,1715.7693692242908
2022-09-19,EU,euro95,with_tax,1738.8785008827856
2022-09-12,EU,euro95,with_tax,1766.3816944115144
2022-09-05,EU,euro95,with_tax,1798.2805019994394
2022-08-29,EU,euro95,with_tax,1769.4594204629843
2022-08-22,EU,euro95,with_tax,1754.73128993289
2022-08-15,EU,euro95,with_tax,1766.962193926674
2022-08-08,EU,euro95,with_tax,1795.036193818635
2022-08-01,EU,euro95,with_tax,1850.956683444257
2022-07-25,EU,euro95,with_tax,1875.932116088661
2022-07-18,EU,euro95,with_tax,1925.120233422007
2022-07-11,EU,euro95,with_tax,1957.7413403423843
2022-07-04,EU,euro95,with_tax,1991.8005363902137
2022-06-27,EU,euro95,with_tax,2013.382486463116
2022-06-20,EU,euro95,with_tax,2032.334861603369
2022-06-13,EU,euro95,with_tax,2033.806973184547
2022-06-06,EU,euro95,with_tax,2007.8902882995176
2022-05-30,EU,euro95,with_tax,1988.013658170459
2022-05-23,EU,euro95,with_tax,1959.9087313669988
2022-05-16,EU,euro95,with_tax,1918.1921671737248
2022-05-09,EU,euro95,with_tax,1881.647667548792
2022-05-02,EU,euro95,with_tax,1848.1156794468525
2022-04-25,EU,euro95,with_tax,1829.7138751604384
2022-04-11,EU,euro95,with_tax,1821.440059228412
2022-04-04,EU,euro95,with_tax,1850.203401180618
2022-03-28,EU,euro95,with_tax,1898.744504707102
2022-03-21,EU,euro95,with_tax,1930.542415884107
2022-03-14,EU,euro95,with_tax,1999.3510896914224
2022-03-07,EU,euro95,with_tax,1844.5688661451936
2022-02-28,EU,euro95,with_tax,1735.443863712277
2022-02-21,EU,euro95,with_tax,1697.8264832719508
2022-02-14,EU,euro95,with_tax,1687.823840954648
2022-02-07,EU,euro95,with_tax,1673.18690423701
2022-01-31,EU,euro95,with_tax,1668.6774593980176
2022-01-24,EU,euro95,with_tax,1649.15447850228
2022-01-17,EU,euro95,with_tax,1633.7772871811485
2022-01-10,EU,euro95,with_tax,1624.4117825536648
2022-01-03,EU,euro95,with_tax,1614.6741585011707
2021-12-20,EU,euro95,with_tax,1594.0000528454802
2021-12-13,EU,euro95,with_tax,1600.8780324934658
2021-12-06,EU,euro95,with_tax,1604.8395230554086
2021-11-29,EU,euro95,with_tax,1631.7757223724552
2021-11-22,EU,euro95,with_tax,1645.8334127032442
2021-11-15,EU,euro95,with_tax,1653.9354551055671
2021-11-08,EU,euro95,with_tax,1653.7456522224995
2021-11-01,EU,euro95,with_tax,1643.2855793913618
2021-10-25,EU,euro95,with_tax,1633.4538888890286
2021-10-18,EU,euro95,with_tax,1625.539311242593
2021-10-11,EU,euro95,with_tax,1603.3208406628046
2021-10-04,EU,euro95,with_tax,1575.2272991141488
2021-09-27,EU,euro95,with_tax,1554.2644391616598
2021-09-20,EU,euro95,with_tax,1554.348720459352
2021-09-13,EU,euro95,with_tax,1549.7388387900614
2021-09-06,EU,euro95,with_tax,1543.5978054797354
2021-08-30,EU,euro95,with_tax,1536.2694770633866
2021-08-23,EU,euro95,with_tax,1532.2889966406724
2021-08-16,EU,euro95,with_tax,1541.9873605031753
2021-08-09,EU,euro95,with_tax,1543.48336734111
2021-08-02,EU,euro95,with_tax,1542.2765635954609
2021-07-26,EU,euro95,with_tax,1533.4805180537292
2021-07-19,EU,euro95,with_tax,1534.3236762912736
2021-07-12,EU,euro95,with_tax,1526.0677632697466
2021-07-05,EU,euro95,with_tax,1518.704562931582
2021-06-28,EU,euro95,with_tax,1508.731670967314
2021-06-21,EU,euro95,with_tax,1489.864310202428
2021-06-14,EU,euro95,with_tax,1482.65481901594
2021-06-07,EU,euro95,with_tax,1471.3019992970585
2021-05-31,EU,euro95,with_tax,1471.203137977788
2021-05-24,EU,euro95,with_tax,1470.7085326972308
2021-05-17,EU,euro95,with_tax,1470.291578908939
2021-05-10,EU,euro95,with_tax,1468.9210551055053
2021-05-03,EU,euro95,with_tax,1455.1822965410777
2021-04-26,EU,euro95,with_tax,1452.6103059267443
2021-04-19,EU,euro95,with_tax,1451.601659783236
2021-04-12,EU,euro95,with_tax,1446.6838351300762
2021-03-29,EU,euro95,with_tax,1439.712160579722
2021-03-22,EU,euro95,with_tax,1441.8772994159292
2021-03-15,EU,euro95,with_tax,1440.6238625470082
2021-03-08,EU,euro95,with_tax,1419.3158678876157
2021-03-01,EU,euro95,with_tax,1402.416754242984
2021-02-22,EU,euro95,with_tax,1389.0591481966703
2021-02-15,EU,euro95,with_tax,1368.842232427702
2021-02-08,EU,euro95,with_tax,1359.0313865378398
2021-02-01,EU,euro95,with_tax,1343.6477932364248
2021-01-25,EU,euro95,with_tax,1341.001054397802
2021-01-18,EU,euro95,with_tax,1334.7202248495823
2021-01-11,EU,euro95,with_tax,1317.4017492682494
2020-12-21,EU,euro95,with_tax,1276.8823181848925
2020-12-14,EU,euro95,with_tax,1267.8521989110511
2020-12-07,EU,euro95,with_tax,1263.9885718683709
2020-11-30,EU,euro95,with_tax,1262.513822575674
2020-11-23,EU,euro95,with_tax,1253.3890963131964
2020-11-16,EU,euro95,with_tax,1247.7932896621132
2020-11-09,EU,euro95,with_tax,1235.8697580427886
2020-11-02,EU,euro95,with_tax,1236.9679505367665
2020-10-26,EU,euro95,with_tax,1252.8738815666302
2020-10-19,EU,euro95,with_tax,1262.3643833342032
2020-10-12,EU,euro95,with_tax,1269.3192456909594
2020-10-05,EU,euro95,with_tax,1266.0737124575865
2020-09-28,EU,euro95,with_tax,1263.4132829224634
2020-09-21,EU,euro95,with_tax,1267.3463079447072
2020-09-14,EU,euro95,with_tax,1266.8263758633816
2020-09-07,EU,euro95,with_tax,1274.1663179974323
2020-08-31,EU,euro95,with_tax,1278.546585311376
2020-08-24,EU,euro95,with_tax,1273.8149998005465
2020-08-17,EU,euro95,with_tax,1272.5223839743262
2020-08-10,EU,euro95,with_tax,1267.455688301237
2020-08-03,EU,euro95,with_tax,1266.1035809346365
2020-07-27,EU,euro95,with_tax,1274.132549821846
2020-07-20,EU,euro95,with_tax,1267.2490740273688
2020-07-13,EU,euro95,with_tax,1269.214325690262
2020-07-06,EU,euro95,with_tax,1259.618780538298
2020-06-29,EU,euro95,with_tax,1256.4440825340405
2020-06-22,EU,euro95,with_tax,1248.794196375336
2020-06-15,EU,euro95,with_tax,1231.608911129147
2020-06-08,EU,euro95,with_tax,1219.055207807775
2020-06-01,EU,euro95,with_tax,1206.1161100176432
2020-05-25,EU,euro95,with_tax,1194.40736131651
2020-05-18,EU,euro95,with_tax,1176.6178875577716
2020-05-11,EU,euro95,with_tax,1167.8269833063855
2020-05-04,EU,euro95,with_tax,1160.5849966807923
2020-04-27,EU,euro95,with_tax,1167.3578029693665
2020-04-20,EU,euro95,with_tax,1189.1840595391589
2020-04-06,EU,euro95,with_tax,1205.853749237965
