Date,country,fuel_type,price_type,price_per_1000l
2026-05-18,EU,euro95,wo_tax,1007.5629163086404
2026-05-11,EU,euro95,wo_tax,1000.5884064927582
2026-05-04,EU,euro95,wo_tax,990.2014867969748
2026-04-27,EU,euro95,wo_tax,964.7762824080606
2026-04-20,EU,euro95,wo_tax,952.7752362174804
2026-04-13,EU,euro95,wo_tax,975.5332836115564
2026-04-06,EU,euro95,wo_tax,997.2862372981242
2026-03-30,EU,euro95,wo_tax,973.0660925887148
2026-03-23,EU,euro95,wo_tax,961.7234554136788
2026-03-16,EU,euro95,wo_tax,879.403820484558
2026-03-09,EU,euro95,wo_tax,825.3757024693483
2026-03-02,EU,euro95,wo_tax,734.1382106433114
2026-02-23,EU,euro95,wo_tax,712.5151680033002
2026-02-16,EU,euro95,wo_tax,706.3889795746946
2026-02-09,EU,euro95,wo_tax,699.4679553962716
2026-02-02,EU,euro95,wo_tax,698.2976291091238
2026-01-26,EU,euro95,wo_tax,692.5524803361191
2026-01-19,EU,euro95,wo_tax,689.9530933032612
2026-01-12,EU,euro95,wo_tax,684.3706855394006
2026-01-05,EU,euro95,wo_tax,685.4527373888855
2025-12-29,EU,euro95,wo_tax,672.1630674265882
2025-12-22,EU,euro95,wo_tax,672.9453755780341
2025-12-15,EU,euro95,wo_tax,688.3475332506298
2025-12-08,EU,euro95,wo_tax,700.1001131609506
2025-12-01,EU,euro95,wo_tax,707.7573991210597
2025-11-24,EU,euro95,wo_tax,716.2934044080375
2025-11-17,EU,euro95,wo_tax,716.4111742407929
2025-11-10,EU,euro95,wo_tax,704.5959097028158
2025-11-03,EU,euro95,wo_tax,700.6055088950299
2025-10-27,EU,euro95,wo_tax,696.5092691993711
2025-10-20,EU,euro95,wo_tax,691.5491756101743
2025-10-13,EU,euro95,wo_tax,698.1412793978042
2025-10-06,EU,euro95,wo_tax,701.0488175919281
2025-09-29,EU,euro95,wo_tax,703.680428902747
2025-09-22,EU,euro95,wo_tax,703.5397429246883
2025-09-15,EU,euro95,wo_tax,702.3957351296643
2025-09-08,EU,euro95,wo_tax,697.7348950590878
2025-09-01,EU,euro95,wo_tax,690.9581782454217
2025-08-25,EU,euro95,wo_tax,693.092277500666
